question,context
Who was the most powerful ruler of the Nanda Dynasty?,The most powerful ruler of the Nanda Dynasty is Mahapadma Nanda who was on the throne of Magadha when Alexander the Great invaded India.
How did the Nanda Dynasty end?,"The Nanda Dynasty ended when Chandragupta Maurya, supported by his mentor Chanakya, overthrew the last ruler of the Nanda Dynasty, Dhana Nanda."
What are the 4 Vedas about?,"Rig Vedas: Contains hymns about mythology,Sama Veda: Consists mainly of hymns about Religious rituals,Yajur Veda: Contains instruction for religious rituals,Atharva Veda: Consists of spells against diseases."
Which dynasty was raised in Magadha after the defeat of the Nanda dynasty?,The Mauryan Dynasty was raised in Magadha following the defeat of the Nanda Dynasty.
What is the main message of Rig Veda?,The Veda is composed of ten Mandalas each of which serves significant purposes. The primary purpose is seen as hymns in the praise of the Hindu deities.
Who killed Kalasoka?,Kalasoka was killed by the founder of the Nanda dynasty in about 367 BCE
Which Veda should be read first?,"There is no specified order in which the Vedas can be read. However, since the Rig Veda is the oldest and most important of the 4 Vedas, the Rig Veda can be read first."
Who was the last ruler of the Shishunaga dynasty?,The 10th and the last ruler of the Shishunaga dynasty as per Puranas was Mahanandin. Mahanandin was killed by his illegitimate son from a Shudra wife named Mahapadma.
Which is the second Veda?,The second Veda to be composed is the Yajurveda.
How old are Vedas?,The Vedas date back to 6000 B.C older by 4500 years than previously thought.
How old are the oldest Veda?,The oldest layer of vedic texts were composed between circa 1500-1200 BCE.
When was Vedas written?,The Vedas were written between 1500 and 500 BCE. Before it was passed down orally from generation to generation.
"Which is older, Vedas or Mahabharata?","Given historical evidence, Puranic historians are of the opinion that Vedas are far older than the Mahabharata. They date the Vedas to 7000 BC while they date the events of the Mahabharata to 3000 BC."
Do Vedas predate Ramayan?,The Vedas predate the Ramayan by many centuries.
Which is the first written Vedas?,"The Rigveda Samhita is the first written Vedas. It is a collection of 1,028 Vedic Sanskrit hymns and 10,600 verses in all, organized into ten books."
What is the Vedic age known for?,The Vedic age is known for laying down the foundation of Indian civilization. These include the emergence of early Hinduism as the foundational religion of India.
When did the Vedic age start?,"The Vedic Age is believed to have begun from 1500 BCE, lasting until 500 BCE."
Why are the Vedas important?,The Vedas are considered an important and sacred scriptures of the Hindu religion. It is also widely regarded as a treasure vault of wisdom and knowledge.
What is the significance of the Vedic era for Hinduism?,The Vedic Era was significant for Hinduism in the sense that it became the foundational religion of India. It was also the formative period where the foundations of Indian civilization was laid.
What is the most important Veda?,"Although all the Vedic texts are important in their own right, the Rigveda is given precedence as it is the oldest extant Indic text."
Which dynasty ruled Avanti Mahajanapada?,The Avanti Mahajanapada was ruled by the Haihaya dynasty as per the Matsya Purana.
What are the 4 main Vedas?,"The four main Vedas are as follows:The Rigveda,The Yajurveda,The Samaveda,The Atharvaveda."
Who was the greatest king of the Haryanka dynasty?,Bimbisara was considered the greatest king of the Haryanka Dynasty as he was the founder of the dynasty as well as played an important role in its expansion.
Who was the most powerful ruler of Magadha?,Bimbisara is considered to be the most powerful ruler of Magadha due to his conquest of the Anga kingdom to the east. His conquests would be considered as they would form the basis for future expansion of the Mauryan Empire.
Which dynasty ruled after Haryanka?,The Shaishunaga dynasty succeeded the Haryanka Dynasty at around 421 BCE.
What is the significance of the Vedas?,The Vedas are considered to be one of the most sacred scriptures of the Hindu religion. The Vedas are said to be a vault of knowledge and wisdom as well.
Who ruled Magadha when Alexander invaded it?,At the time of Alexander’s invasion of India Dhana Nanda of the Nanda Dynasty was the ruler of Magadha.
Why did India's first civilization develop in the Indus Valley?,India’s first civilization developed in the Indus river valley because the region provided a steady source of water for agriculture. It made farming possible in what was otherwise a dry region.
What problems did the Indus Valley face?,Some of the problems faced by the Indus Valley civilization included abrupt climate changes that severely affected agriculture and the threat of foreign invasions. It should be noted that which set of problems caused the decline of the Indus Valley civilization.
What are four reasons the Indus Valley Civilization may have failed?,"The four reasons why the Indus Valley Civilization may failed ares follows:Environmental changes such as drought, flooding etc,Crop failures and disease,Foreign invasions,Collapse of the trade networks."
Why was the Indus Valley Civilization abandoned?,The Indus Valley Civilization would have been abandoned due to climate change which made farming impossible. Although other reasons such as foreign invasions and collapse of trade networks would have played a role as well.
When and by whom was the Indus Valley civilization first discovered?,"In 1912 Harappan seals with unknown symbols were discovered by J.Fleet. This triggered an expedition by Sir John Hubert Marshall in 1921-1922. This expedition led to the discovery of the ancient city of Harappa, thus confirming the existence of the Indus Valley civilization."
Who first excavated Indus Valley civilization?,"Rai Bahadur Daya Ram Sahni, under the direction of Sir John Hubert Marshall, led the first excavation of the Harappa site which led to the discovery of the Indus Valley civilization."
What did the Indus Valley Civilization invent?,The Indus Valley Civilization is known for inventing standardized weights and measurements which were as accurate as to 1.6 mm.
Who discovered the Indus Valley civilization?,Sir John Hubert Marshall led an archaeological expedition in 1921-1922. It was during this expedition when Harappa was discovered. Marshall and Sir Mortimer Wheeler then excavated Mohenjo-Daro in 1931. Thus we can safely say that Sir John Hubert Marshall is credited for discovering the Indus Valley Civilization.
Who was the king of the Indus Valley?,It is not known who was the king of the Indus Valley. The limited knowledge of the existence of a king is due to an artifact called ‘the Priest King’ which is the iconic representation of the Indus Valley Civilization. It is not known exactly who he was or the role he played in society.
Why is the Indus Valley considered a great civilization?,"The Indus Valley is considered a great civilization due to its technological advancements such as urban planning, elaborate drainage systems, water supply systems etc."
Did the Indus Valley have kings?,There is no conclusive evidence that the Indus Valley ever had a king. There is a statue of what is identified as ‘Priest King’ but it is not known what his role was.
Is Indus Valley the oldest civilization?,"In terms of urban culture, the Indus Valley was the oldest civilization of the subcontinent.It is also one of the earliest civilizations along with Mesopotamia and Ancient Egypt."
Who was the priest king of Harappa?,"The Priest King of Harappa refers to the human figure sculpted in steatite. The name ‘priest king’ in itself is speculative in nature and without foundation, but considering the unknown origins of the subject on whom the statue is based on, it was considered an apt name then."
